threshold,precision,recall,f1,true_positives,false_positives,false_negatives,predictions,predictions_per_image
0.938,0.21467391304347827,0.9673469387755103,0.3513713862120089,474.0,1734.0,16.0,2208.0,9.012244897959183
0.939,0.21683440073193047,0.9673469387755103,0.3542600896860986,474.0,1712.0,16.0,2186.0,8.922448979591836
0.94,0.2200557103064067,0.9673469387755103,0.3585476550680787,474.0,1680.0,16.0,2154.0,8.791836734693877
0.941,0.22326895902025437,0.9673469387755103,0.3628013777267509,474.0,1649.0,16.0,2123.0,8.66530612244898
0.942,0.2257142857142857,0.9673469387755103,0.366023166023166,474.0,1626.0,16.0,2100.0,8.571428571428571
0.943,0.2276657060518732,0.9673469387755103,0.36858475894245724,474.0,1608.0,16.0,2082.0,8.49795918367347
0.944,0.22998544395924309,0.9673469387755103,0.37161897295178364,474.0,1587.0,16.0,2061.0,8.412244897959184
0.945,0.2314453125,0.9673469387755103,0.3735224586288416,474.0,1574.0,16.0,2048.0,8.359183673469389
0.946,0.23453735774369125,0.9673469387755103,0.37753882915173237,474.0,1547.0,16.0,2021.0,8.248979591836735
0.947,0.23795180722891565,0.9673469387755103,0.3819500402900886,474.0,1518.0,16.0,1992.0,8.130612244897959
0.948,0.23939393939393938,0.9673469387755103,0.38380566801619437,474.0,1506.0,16.0,1980.0,8.081632653061224
0.949,0.24073133570340274,0.9673469387755103,0.3855225701504677,474.0,1495.0,16.0,1969.0,8.036734693877552
0.95,0.24370179948586118,0.9673469387755103,0.38932238193018476,474.0,1471.0,16.0,1945.0,7.938775510204081
0.951,0.24559585492227978,0.9673469387755103,0.3917355371900826,474.0,1456.0,16.0,1930.0,7.877551020408164
0.952,0.2490803993694167,0.9673469387755103,0.39615545340576686,474.0,1429.0,16.0,1903.0,7.7673469387755105
0.953,0.253475935828877,0.9673469387755103,0.4016949152542373,474.0,1396.0,16.0,1870.0,7.63265306122449
0.954,0.2581699346405229,0.9673469387755103,0.40756663800515913,474.0,1362.0,16.0,1836.0,7.493877551020408
0.955,0.2605827377680044,0.9673469387755103,0.4105673451710698,474.0,1345.0,16.0,1819.0,7.424489795918367
0.956,0.2633333333333333,0.9673469387755103,0.4139737991266375,474.0,1326.0,16.0,1800.0,7.346938775510204
0.957,0.2662921348314607,0.9673469387755103,0.41762114537444944,474.0,1306.0,16.0,1780.0,7.26530612244898
0.958,0.26916524701873934,0.9673469387755103,0.42114615726343846,474.0,1287.0,16.0,1761.0,7.187755102040816
0.959,0.27367205542725176,0.9673469387755103,0.4266426642664267,474.0,1258.0,16.0,1732.0,7.069387755102041
0.96,0.2794811320754717,0.9673469387755103,0.4336688014638609,474.0,1222.0,16.0,1696.0,6.922448979591837
0.961,0.28884826325411334,0.9673469387755103,0.44486156733927734,474.0,1167.0,16.0,1641.0,6.697959183673469
0.962,0.2958801498127341,0.9673469387755103,0.45315487571701724,474.0,1128.0,16.0,1602.0,6.538775510204082
0.963,0.3020434227330779,0.9653061224489796,0.46011673151750965,473.0,1093.0,17.0,1566.0,6.391836734693878
0.964,0.3101639344262295,0.9653061224489796,0.4694789081885856,473.0,1052.0,17.0,1525.0,6.224489795918367
0.965,0.3147039254823686,0.9653061224489796,0.47466131460110383,473.0,1030.0,17.0,1503.0,6.134693877551021
0.966,0.3211133740665309,0.9653061224489796,0.4819154355578197,473.0,1000.0,17.0,1473.0,6.012244897959183
0.967,0.3298465829846583,0.9653061224489796,0.49168399168399163,473.0,961.0,17.0,1434.0,5.853061224489796
0.968,0.3366548042704626,0.9653061224489796,0.49920844327176783,473.0,932.0,17.0,1405.0,5.73469387755102
0.969,0.34425036390101893,0.9653061224489796,0.5075107296137339,473.0,901.0,17.0,1374.0,5.608163265306122
0.97,0.35014836795252224,0.963265306122449,0.5136017410228509,472.0,876.0,18.0,1348.0,5.502040816326531
0.971,0.35542168674698793,0.963265306122449,0.5192519251925192,472.0,856.0,18.0,1328.0,5.420408163265306
0.972,0.3622409823484267,0.963265306122449,0.5264919129949805,472.0,831.0,18.0,1303.0,5.318367346938776
0.973,0.3714511041009464,0.9612244897959183,0.5358361774744028,471.0,797.0,19.0,1268.0,5.1755102040816325
0.974,0.3804523424878837,0.9612244897959183,0.545138888888889,471.0,767.0,19.0,1238.0,5.053061224489796
0.975,0.3886138613861386,0.9612244897959183,0.5534665099882492,471.0,741.0,19.0,1212.0,4.946938775510204
0.976,0.39646464646464646,0.9612244897959183,0.5613825983313468,471.0,717.0,19.0,1188.0,4.848979591836735
0.977,0.40463917525773196,0.9612244897959183,0.5695284159613059,471.0,693.0,19.0,1164.0,4.751020408163265
0.978,0.4088541666666667,0.9612244897959183,0.5736906211936662,471.0,681.0,19.0,1152.0,4.702040816326531
0.979,0.41644562334217505,0.9612244897959183,0.5811227637260951,471.0,660.0,19.0,1131.0,4.616326530612245
0.98,0.4247069431920649,0.9612244897959183,0.5891181988742964,471.0,638.0,19.0,1109.0,4.526530612244898
0.981,0.4293527803099362,0.9612244897959183,0.5935727788279773,471.0,626.0,19.0,1097.0,4.477551020408163
